,CL,CL_log,CD,CD_log,Cm,Cm_log,Va,alpha,alpha_deg
544,-2.5819783673098797,-1.6182624875115013,3.7299496116242583,3.8081834152114302,-1.5071154617409572,-1.2245875345780626,2.9791304267482954,-0.466252852269155,-26.708388618257842
543,-2.4983268475155627,-1.6479657579413196,3.645496216381508,3.876193424587583,-1.5007558959573792,-1.0940206489795552,2.964553879398646,-0.46532120788659387,-26.70082244873447
542,-2.4689287412367307,-1.7971262814881876,3.6191192736842748,3.9667279596909464,-1.5019681840150052,-1.1070542337715208,2.9557022855657604,-0.4649642184883542,-26.698110195181652
541,-2.464207226051516,-1.9257815240318428,3.6198993010625307,4.041241637337863,-1.5089240178711032,-1.26798803577305,2.9470151356606746,-0.46492498334828475,-26.604984882908866
545,-2.667383123534051,-1.7583836475843437,3.8158096351979287,3.7755252032562243,-1.5097139726526136,-1.3871806968613454,2.999532530590504,-0.4659256313277383,-26.594641948433267
540,-2.511257837084734,-1.9308498794615823,3.680620489727864,4.052727370973155,-1.5303568786546675,-1.4795826274797197,2.9342889717274248,-0.4635135152752029,-26.515750884343714
546,-2.6489670985013367,-1.9582764012624774,3.778966695015261,3.7581653987832415,-1.4885384047272416,-1.4577029965698747,3.022514313057285,-0.46229869117455086,-26.465414180712536
539,-2.457842014496046,-1.802010474514886,3.6311496230156397,3.9801560842800203,-1.5315657855374312,-1.618512324180547,2.920746134896598,-0.45981376132220564,-26.34218508460108
547,-2.6670022376292346,-2.0497191069789182,3.7835602799820514,3.710765366218152,-1.4725193947818722,-1.4079609293954038,3.0482811520499675,-0.4553316743257326,-26.281886724680362
538,-2.3206302910314074,-1.6137401597407022,3.4911278275051982,3.864988587497502,-1.510476467356248,-1.6088836437703768,2.9129543500433543,-0.45458625892780363,-26.087085705139476
537,-2.103952820362788,-1.4832635682394428,3.279248266315221,3.7939316969954704,-1.467331418084258,-1.459191160740654,2.9117504196963164,-0.4488035676315849,-25.71717984158115
548,-2.570510384433838,-1.9956157864711273,3.650977207916531,3.5977611419204343,-1.4278383895422562,-1.3254237128081623,3.0804711082818184,-0.4468639639326492,-25.491898297216725
536,-2.2377919222803437,-1.4897990067024303,3.408653462714275,3.813338029373546,-1.4972186205736546,-1.2501293210044424,2.9110869088302445,-0.4418529313095015,-25.24547130056591
